default,0,1.39,2.78,4.17,5.56,6.94,8.33,9.72,11.11,12.5,13.89
0,0.710,-0.063,-0.129,-0.205,-0.206,-0.208,-0.209,-0.210,-0.211,-0.259,-0.462
0.100,0.858,0.857,0.632,0.257,0.029,0.029,0.023,-0.076,-0.115,-0.213,-0.279
0.200,1.223,1.222,0.997,0.445,0.375,0.253,0.252,0.181,0.151,0.047,-0.030
0.300,1.749,1.741,1.636,0.820,0.817,0.674,0.557,0.500,0.497,0.478,0.449
0.400,2.646,2.362,2.325,1.680,1.129,1.043,0.955,0.935,0.908,0.894,0.801
0.500,3.285,3.135,2.863,2.561,2.003,1.783,1.675,1.497,1.632,1.649,1.571
